Gene,Drug,test.ROC.AUC,Varimp.Score
ANPEP,A443654,0.9,100
CAP2,A443654,0.9,89.7293861310516
COL3A1,A443654,0.9,89.7293861310516
DPYSL3,A443654,0.9,98.942295592699
FSTL1,A443654,0.9,83.0572869343709
GPX2,A443654,0.9,97.8845911853981
IGFBP4,A443654,0.9,89.7293861310516
ITGAV,A443654,0.9,88.5588877884443
NUDT15,A443654,0.9,89.7293861310516
TNFRSF11B,A443654,0.9,88.5588877884443
TOB1,A443654,0.9,88.5588877884443
CCND3,A443654,1,98.9297685513303
CHPT1,A443654,1,88.4233836863631
DEF6,A443654,1,88.4233836863631
ELF1,A443654,1,87.2390224147005
FGF2,A443654,1,89.6077449580258
HRAS,A443654,1,89.6077449580258
HTRA1,A443654,1,100
KYNU,A443654,1,89.6077449580258
LOX,A443654,1,88.4233836863631
MYC,A443654,1,89.6077449580258
NR4A2,A443654,1,98.9297685513303
PLCB4,A443654,1,88.4233836863631
PRKCA,A443654,1,88.4233836863631
SEC14L2,A443654,1,87.2390224147005
SERPINE1,A443654,1,89.6077449580258
SLC7A5,A443654,1,89.6077449580258
TP63,A443654,1,81.67226273079
TSKU,A443654,1,89.6077449580258
VAMP8,A443654,1,97.8595371026607
SIAH2,A443654,0.85,83.9810375437386
ZFP36,A443654,0.85,100
CELSR1,A443654,0.9,90.7974704335982
DLC1,A443654,0.9,89.6282908546488
FAM162A,A443654,0.9,100
GADD45B,A443654,0.9,89.6282908546488
MDM2,A443654,0.9,90.7974704335982
RHOD,A443654,0.9,90.7974704335982
RNF19B,A443654,0.9,90.7974704335982
SEC61A1,A443654,0.9,89.6282908546488
SLC19A2,A443654,0.9,89.6282908546488
SNTB1,A443654,0.9,89.6282908546488
TAGLN,A443654,0.9,89.6282908546488
TPM1,A443654,0.9,88.4591112756993
AQP3,A443654,0.85,83.4668808466258
EFEMP2,A443654,0.85,83.4668808466258
ENO2,A443654,0.85,91.9264385318604
MYL9,A443654,0.85,82.3920956996558
PTGES,A443654,0.85,82.3920956996558
SDC2,A443654,0.85,82.3920956996558
SGCB,A443654,0.85,82.3920956996558
TSPAN1,A443654,0.85,100
ASS1,A443654,0.85,89.9466044962978
CEBPA,A443654,0.85,88.5890979509097
EMP2,A443654,0.85,89.9466044962978
IL23A,A443654,0.85,88.5890979509097
QSOX1,A443654,0.85,89.9466044962978
RPL18,A443654,0.85,89.9466044962978
SDC4,A443654,0.85,80.8510106753674
TRIP10,A443654,0.85,88.5890979509097
AKT3,A443654,0.9,81.9730997574658
ATP2B4,A443654,0.9,81.9730997574658
BAG1,A443654,0.9,81.9730997574658
FN1,A443654,0.9,91.7107577490954
FOXC1,A443654,0.9,80.7359322169046
MED13L,A443654,0.9,81.9730997574658
XBP1,A443654,0.9,100
MATN2,A443654,0.9,100
DGKA,A443654,0.9,100
FOXO3,A443654,0.9,90.0008453932176
ID2,A443654,0.9,91.1904023422353
PTGS2,A443654,0.9,88.8112884441999
FGFR1,A443654,1,89.8482126339166
KLF9,A443654,1,89.8482126339166
MCL1,A443654,1,89.8482126339166
NR4A1,A443654,1,87.5343002547495
PROCR,A443654,1,89.8482126339166
SFMBT1,A443654,1,88.6912564443331
CDK13,A443654,0.85,97.9090655386137
FSTL3,A443654,0.85,88.6912564443331
LCP1,A443654,0.85,89.8482126339166
MXD1,A443654,0.85,89.8482126339166
RXRA,A443654,0.85,89.8482126339166
SAT1,A443654,0.85,88.6912564443331
VEGFA,A443654,0.85,89.8482126339166
AKAP12,A443654,0.85,100
BMP2,A443654,0.85,82.0949513795591
RCHY1,A443654,0.85,82.0949513795591
FAS,A443654,1,80.7575691193233
FOSL2,A443654,1,80.7575691193233
PLOD2,A443654,1,94.652682147891
SLC1A4,A443654,1,80.7575691193233
BDNF,A443654,0.9,90.6888237491962
BHLHE40,A443654,0.9,84.1570114309907
CD9,A443654,0.9,84.1570114309907
CDKN1A,A443654,0.9,100
HBEGF,A443654,0.9,84.1570114309907
ITGBL1,A443654,0.9,100
JAG2,A443654,0.9,92.0785057154954
SLC6A8,A443654,0.9,100
TIAM1,A443654,0.9,84.1570114309907
VWA5A,A443654,0.9,100
ZC3H12A,A443654,0.9,84.1570114309907
ANXA4,A443654,0.85,88.4033465059997
COL7A1,A443654,0.85,88.4033465059997
MAP7,A443654,0.85,88.4033465059997
NRP1,A443654,0.85,88.4033465059997
PGLYRP1,A443654,0.85,88.4033465059997
TGFBI,A443654,0.85,88.4033465059997
VCAN,A443654,0.85,88.4033465059997
PMP22,A443654,0.85,98.3731824480217
TIMP1,A443654,0.85,82.7450870991702
TPM2,A443654,0.85,91.1314893509981
VIM,A443654,0.85,92.0943051324929
ATP2B1,A443654,0.9,99.4437779705492
GCH1,A443654,0.9,91.6685507334855
MATN3,A443654,0.9,100
BIRC3,A443654,0.85,100
PTX3,A443654,0.85,88.3057650443162
SEMA3B,A443654,0.85,88.3057650443162
JUP,A443654,1,100
LAMC1,A443654,1,86.9730226388138
IFI30,A443654,0.85,93.3679602149892
LITAF,A443654,0.85,91.3694536685848
SLC37A1,A443654,0.85,81.4532957401031
DCXR,A443654,0.95,92.8976530526085
EDIL3,A443654,0.95,82.3920956996558
FYN,A443654,0.95,83.4668808466258
PPARG,A443654,0.95,83.4668808466258
THBS1,A443654,0.95,82.3920956996558
COL6A2,A443654,0.9,89.3822074633053
ADAM12,A443654,0.875,100
FOSB,A443654,0.875,89.1314414193533
FZD2,A443654,0.95,85.3198951014858
TFPI,A443654,0.95,100
THBS2,A443654,0.95,89.6282908546488
SLC3A2,A443654,1,89.7146074437077
